user_id,device,date,converted
251,Tablet,2025-03-15,0
252,Desktop,2025-04-09,0
253,Desktop,2025-05-10,0
254,,,0
255,Mobile,2025-04-07,0
256,Tablet,2025-03-08,0
257,Desktop,2025-05-18,0
258,Tablet,2025-03-24,0
259,Mobile,2025-04-08,0
260,Mobile,2025-04-06,0
261,Desktop,2025-03-14,0
262,Desktop,2025-05-19,0
263,Desktop,2025-03-28,0
264,Tablet,2025-05-10,0
265,Mobile,2025-05-13,0
266,DESKTOP,2025-05-11,0
267,Tablet,2025-03-01,0
268,Mobile,2025-05-24,0
269,Desktop,2025-04-24,0
270,Mobile,2025-03-07,0
271,Tablet,2025-04-15,0
272,Tablet,2025-03-18,0
273,Mobile,2025-03-21,0
274,Tablet,2025-04-04,0
275,Mobile,2025-04-22,0
276,,,1
277,Mobile,2025-04-15,1
278,Mobile,2025-05-25,1
279,Mobile,2025-03-25,0
280,Mobile,2025-04-16,0
281,Mobile,2025-05-23,0
282,Mobile,2025-03-20,0
283,mobile,2025-03-03,1
284,Mobile,2025-04-27,0
285,Tablet,2025-03-02,0
286,Mobile,2025-05-12,0
287,Mobile,2025-03-11,0
288,Tablet,2025-05-28,0
289,Mobile,2025-04-28,0
290,Mobile,2025-04-23,0
291,Tablet,2025-03-21,0
292,Mobile,2025-03-06,0
293,Tablet,2025-03-31,0
294,Desktop,2025-04-23,0
295,Mobile,2025-03-29,0
296,Mobile,2025-05-18,0
297,Mobile,2025-04-16,0
298,mobile,2025-03-24,1
299,Tablet,2025-05-21,0
300,Mobile,2025-05-02,1
301,Mobile,2025-03-23,0
302,mobile,2025-03-05,0
303,Mobile,2025-05-05,0
304,Mobile,2025-05-12,0
305,,,1
306,Mobile,2025-05-04,0
307,Tablet,2025-04-13,0
308,Mobile,2025-05-20,0
309,Mobile,2025-04-02,0
310,Desktop,2025-03-02,0
311,Desktop,2025-03-19,0
312,,,0
313,Mobile,2025-04-19,0
314,Mobile,2025-05-16,1
315,Desktop,2025-05-13,0
316,Mobile,2025-04-26,0
317,Mobile,2025-03-02,0
318,Tablet,2025-04-13,0
319,Tablet,2025-03-02,1
320,Tablet,2025-04-29,1
321,Tablet,2025-03-26,0
322,Desktop,2025-05-21,0
323,mobile,2025-04-07,0
324,Mobile,2025-03-15,0
325,Mobile,2025-05-25,0
326,Tablet,2025-03-15,0
327,Mobile,2025-05-10,0
328,Mobile,2025-03-05,0
329,Desktop,2025-05-31,0
330,mobile,2025-04-03,0
331,Desktop,2025-03-16,0
332,Mobile,2025-04-12,0
333,Desktop,2025-04-05,0
334,Mobile,2025-03-18,0
335,mobile,2025-04-10,0
336,Desktop,2025-05-01,1
337,Mobile,2025-04-23,0
338,Mobile,2025-03-19,0
339,Mobile,2025-05-31,0
340,Mobile,2025-05-24,0
341,Tablet,2025-03-08,0
342,Desktop,2025-05-06,0
343,Desktop,2025-03-24,0
344,Mobile,2025-06-01,0
345,Mobile,2025-04-09,0
346,Mobile,2025-03-02,0
347,Tablet,2025-03-20,0
348,Desktop,2025-03-27,0
349,Desktop,2025-04-25,0
350,Mobile,2025-04-15,0
351,Mobile,2025-05-05,0
352,Desktop,2025-05-23,0
353,Mobile,2025-04-27,0
354,Desktop,2025-05-07,0
355,Tablet,2025-04-26,0
356,Mobile,2025-03-15,0
357,Desktop,2025-04-23,0
358,Desktop,2025-04-20,0
359,Mobile,2025-05-28,0
360,,,0
361,Desktop,2025-03-03,0
362,,,0
363,Desktop,2025-03-14,0
364,Desktop,2025-04-06,0
365,DESKTOP,2025-05-20,0
366,Mobile,2025-04-21,0
367,Mobile,2025-03-19,0
368,Mobile,2025-04-06,0
369,Mobile,2025-03-16,0
370,Mobile,2025-03-15,0
371,Mobile,2025-05-03,0
372,Mobile,2025-05-03,0
373,Desktop,2025-04-29,0
374,Mobile,2025-03-06,0
375,Desktop,2025-04-12,0
376,Tablet,2025-03-06,1
377,,,0
378,Desktop,2025-04-03,0
379,mobile,2025-05-10,0
380,Tablet,2025-05-02,0
